cncdate,shares,amount,buy_flag
2014-12-11,592.0,50005.648,0
2015-02-24,11077.0,938362.5779,0
2015-02-25,4396.0,371575.8564,0
2015-03-06,5392.0,437225.4176,0
2015-03-09,2000.0,163161.0,0
2015-03-10,2000.0,160795.19999999998,0
2015-03-13,1000.0,80000.0,0
2015-05-14,5000.0,435128.5,0
2015-05-22,24797.0,2169836.688,0
2015-05-28,14476.0,1273329.2264,0
2015-05-29,1800.0,156600.0,0
2015-06-03,10358.0,906520.6358,0
2015-08-13,6304.0,570767.9423999999,0
2015-08-18,5000.0,460000.0,0
2015-09-11,2000.0,172780.6,0
2015-11-16,2678.0,230308.0,0
2015-11-17,2585.0,224383.9455,0
2015-11-19,1507.0,132456.4087,0
2015-11-20,19175.0,1693902.4678,0
2015-11-23,5494.0,492156.32,0
2016-05-09,4000.0,390000.0,0
2016-05-10,4379.0,421846.586,0
2016-05-11,45594.0,4439268.9288,0
2016-05-12,8522.0,830039.7347,0
2016-05-13,1122.0,110036.5596,0
2016-05-16,19002.0,1865082.4038,0
2016-05-23,10332.0,1024156.4004,0
2016-05-24,5773.0,579703.2999,0
2016-05-27,6981.0,713960.3825000001,0
2016-06-03,2973.0,303519.516,0
2016-06-06,48413.0,4953453.555799999,0
2016-06-09,3484.0,352741.06399999995,0
2016-06-10,2000.0,201324.8,0
2016-08-11,10198.0,959640.4772,0
2016-08-18,3086.0,280769.5262,0
2016-11-07,2600.0,246967.5,0
2017-02-09,7208.0,720800.0,0
2017-02-13,13000.0,1319500.0,0
2017-02-14,5000.0,506753.0,0
2017-02-15,61181.0,6204304.029,0
2017-02-17,10285.0,1059302.294,0
2017-02-23,7423.0,760450.2713,0
2017-03-13,2290.0,250046.474,0
2017-05-12,3361.0,379565.4603,0
2017-05-18,4172.0,466858.0644,0
2017-05-24,1400.0,162472.66,0
2017-05-25,1000.0,117859.0,0
2017-05-26,27900.0,3288402.81,0
2017-05-30,13331.0,1571788.2222,0
2017-06-01,2744.0,329166.6728,0
2017-06-02,1425.0,171586.245,0
2017-06-06,2500.0,301537.25,0
2017-08-10,1000.0,118624.8,0
2017-08-15,5000.0,585105.0,0
2017-08-16,1438.0,169601.108,0
2017-08-17,1000.0,119617.4,0
2017-08-22,1000.0,119212.3,0
2017-08-24,2500.0,297273.5,0
2017-08-25,2500.0,297348.25,0
2017-09-01,7487.0,899003.4878,0
2018-02-22,22013.0,2557848.8313,0
2018-02-23,33387.0,3888912.6767,0
2018-02-26,15891.0,1863623.3814,0
2018-03-05,5064.0,598505.0447999999,0
2018-03-08,5500.0,664173.95,0
2018-03-14,2000.0,245641.2,0
2018-05-11,8402.0,1132357.94,0
2018-05-15,2678.0,360967.62,0
2018-05-16,1500.0,202980.0,0
2018-06-04,1850.0,250915.5,0
2018-06-07,1800.0,247032.00000000003,0
2018-06-15,800.0,110400.0,0
2018-08-06,4000.0,560367.6799999999,0
2018-08-09,38995.0,5430443.699999999,0
2018-08-13,566.0,79064.54,0
2018-08-24,3800.0,554230.0,0
2018-08-28,2745.0,407138.4,0
2018-08-31,1400.0,209734.0,0
2018-11-16,1378.0,202841.6,0
2018-11-21,2763.0,407570.65,0
2018-11-28,3085.0,460405.4,0
2019-02-21,1909.0,271097.09,0
2019-02-28,59727.0,8534988.3,0
2019-03-01,31208.0,4488646.640000001,0
2019-03-08,3635.0,511226.4,0
2019-03-11,8496.0,1214928.0,0
2019-03-12,7319.0,1062206.47,0
2019-03-14,8259.0,1190452.2599999998,0
2019-05-17,6366.0,982086.11,0
2019-05-22,700.0,107800.0,0
2019-06-03,1812.0,272198.64,0
2019-06-05,700.0,107450.0,0
2019-06-07,4032.0,634193.2799999999,0
2019-08-08,400.0,53216.0,0
2019-08-27,771.0,99859.92,0
2019-08-29,1500.0,198742.5,0
