jdate,shares,amount,buy_flag
2004-02-24,7895.0,219165.2,0
2004-02-25,8068.0,224935.84,0
2004-03-01,6361.0,176390.53,0
2004-03-01,7000.0,199290.0,1
2004-03-02,1654.0,47158.95,0
2004-03-03,3090.0,88683.0,0
2004-03-04,1670.0,47899.9,0
2004-05-26,10300.0,317240.0,0
2004-05-27,21695.0,666036.5,0
2004-06-01,1028.0,32073.3944,0
2004-08-25,1500.0,39750.0,1
2004-12-01,4030.0,124339.5,0
2004-12-02,79000.0,2408994.4,0
2004-12-07,18162.0,581547.2400000001,0
2004-12-08,13057.0,394321.4,0
2004-12-10,33210.0,989416.8,0
2004-12-13,24300.0,721321.2000000001,0
2005-02-25,32012.0,983404.79,0
2005-03-02,1520.0,48062.4,0
2005-03-03,2000.0,63980.0,0
2005-03-04,6930.0,221760.0,0
2005-05-09,6147.49,195244.2824,1
2005-06-01,4143.482,124925.9823,1
2005-06-01,9502.0,285060.0,0
2005-06-10,260.0,7963.8,1
2005-06-14,905.0,27575.35,0
2005-09-01,33010.0,1066315.6,0
2005-09-02,8512.0,274542.72,0
2005-09-06,2600.0,83979.99999999999,0
2005-11-04,12.543,399.99627,1
2005-11-28,2129.5972,69318.38885999999,1
2005-11-29,2665.3104000000003,86889.11904000002,0
2005-12-09,8555.0,275903.883,0
2005-12-12,1000.0,32280.0,0
2006-03-03,60.0,2037.6,0
2006-05-31,102000.0,3637840.2,0
2006-06-01,22200.0,798870.0,0
2006-06-02,27900.0,1004300.0,0
2006-06-07,1081.6,38894.336,0
2006-09-05,295680.0,10848499.2,0
2006-09-11,3590.0,129527.2,0
2006-10-05,2.774,99.999926,1
2006-11-28,8171.0,306511.136,0
2006-11-29,3199.0,121242.1,0
2006-12-01,3250.0,122540.0,0
2006-12-04,8270.5648,314116.051104,1
2006-12-11,8268.0,317171.88,0
2007-02-22,1340.0278,50103.63944200001,1
2007-03-05,2960.0,107504.24,0
2007-03-07,2000.0,72870.0,0
2007-05-30,6275.0,231616.525,0
2007-06-06,100.0,3740.0,1
2007-06-08,1602.0,59674.5,0
2007-11-26,6451.0,246492.71,0
2007-11-27,1610.0,61683.28600000001,0
2007-11-30,8000.0,320870.4,0
2007-12-04,5280.0,212150.4,0
2007-12-07,960.0,38457.600000000006,0
2007-12-17,100.0,3981.72,1
2008-01-03,2500.0,99967.0,1
2008-02-27,1521.0,64034.1,0
2008-03-04,9360.0,385912.8,0
2008-03-18,11039.0,445349.4784,0
2008-03-27,1161.0,47686.914,0
2008-05-28,195.232,7491.051839999999,0
2008-05-28,744.6492,28572.189804,1
2008-05-30,3235.0,123771.1,0
2008-08-26,100.0,3576.86,1
2008-12-01,7909.49,197816.3449,1
2008-12-02,36408.7478,917482.469428,1
2008-12-03,14000.0,353122.0,0
2008-12-15,1615.0,47384.1,0
2008-12-19,4480.0,139108.1,1
2009-01-05,11200.0,353078.0,1
2009-01-06,2828.0,89347.83200000001,0
2009-02-24,1733.3083,55379.200185,1
2009-02-24,5600.0,177471.0,0
2009-02-26,1640.9564,53806.960356,1
2009-03-03,1196.6977,37612.208711,1
2009-03-05,2000.0,60020.0,1
2009-03-06,1290.2102,37932.17988,0
2009-05-27,1253.0,43353.8,0
2009-05-29,1882.5133,65210.260712,1
2009-08-25,1903.0,70986.6575,0
2009-08-28,540.7812,20095.429392,1
2009-09-17,270.0,9906.246,1
2009-12-08,1668.0,64442.346000000005,0
2009-12-10,8300.0,319757.5,0
2009-12-11,11400.0,439686.0,0
2009-12-16,1182.0,45309.01500000001,0
2009-12-17,3500.0,131524.75,1
2009-12-18,1290.0,48633.00000000001,0
2009-12-28,1525.7875,59154.781375,1
2009-12-28,40000.0,1551040.0000000002,0
2009-12-29,85000.0,3300890.0000000005,0
2010-01-04,3209.0,122817.0725,0
2010-01-06,2245.8615,85949.119605,1
2010-02-22,1160.2176,48195.439104,0
2010-02-23,30416.0,1262161.2112,0
2010-02-24,9262.0,383632.04,0
2010-02-25,2547.0,104588.3115,0
2010-03-03,31818.0,1316933.325,0
2010-03-04,2049.1129,84812.782931,1
2010-03-05,78802.0,3290960.6448,0
2010-03-12,8484.0,352280.2836,0
2010-03-16,1004.062,41487.84184,0
2010-03-18,1200.0,50028.12,0
2010-03-24,3312.0,138283.6176,0
2010-04-09,3898.0,162555.9552,0
2010-06-02,7500.0,300525.75,1
2010-06-04,26169.0,1060490.8743,0
2010-06-15,9395.0,394777.9,0
2010-06-23,2196.1543,91360.01888,0
2010-08-25,24848.0,1059066.9708,0
2010-08-30,9100.0,392665.0,0
2010-08-31,1349.377,58225.61755,1
2010-09-01,213.2943,9203.649045,0
2010-09-02,1256.4974,55273.320626,0
2010-09-13,1674.0,74682.999,0
2010-09-14,2543.0,112883.77,0
2010-10-06,9000.0,407160.0,0
2010-10-07,1721.0,78120.4925,0
2010-10-08,19099.0,866276.402,0
2010-10-14,4449.0,200071.53,0
2010-10-15,1228.0,54928.44,0
2010-12-16,19740.0,1007567.305,0
2010-12-20,4624.0,239021.576,0
2010-12-21,1500.0,77340.0,1
2010-12-21,6700.0,345496.84,0
2010-12-22,4416.0,226905.12,0
2011-01-17,3141.0,159060.55409999998,0
2011-02-25,24916.1,668249.802,0
2011-03-02,12927.0,357935.703,0
2011-03-07,7115.0,193266.8795,0
2011-03-08,370007.0,10150846.0394,0
2011-03-11,17279.0,477534.5393,0
2011-03-29,200.0,5620.0,0
2011-03-30,26389.0,737821.3012999999,0
2011-04-13,8171.0,228297.74,0
2011-04-14,17013.033,481941.63720000006,0
2011-05-27,350.468,10146.0486,0
2011-06-01,4443.0,130282.9776,0
2011-06-15,3174.0,90942.4002,0
2011-06-20,2024.0,58880.184,0
2011-06-28,100730.0,2961535.2425,0
2011-06-29,20389.0,601475.5,0
2011-07-01,8398.0,249840.5,0
2011-07-06,17600.0,529235.52,0
