jdate,shares,amount,buy_flag
2011-10-10,20340.0,575676.9180000001,0
2011-11-30,6499.0,194599.557,0
2011-12-02,28553.0,846389.9127,0
2012-01-09,12566.0,364414.0,0
2012-01-13,14492.0,421083.8996,0
2012-04-05,10946.1607,319518.43083300005,0
2012-04-13,5000.0,141230.5,0
2012-05-31,21279.0,639350.9619,0
2012-07-05,13206.0,399877.68,0
2012-10-02,8361.0,248739.75,0
2012-10-03,10068.0,297858.26,0
2012-10-09,6000.0,174574.80000000002,0
2012-11-26,4367.0,132743.5475,0
2012-11-29,22138.0,677066.3782,0
2012-12-06,33822.0,1050538.3776,0
2012-12-10,5526.0,171540.855,0
2012-12-12,2548.0,79151.5816,0
2013-01-11,33947.0,1165739.9800000002,0
2013-03-01,16000.0,598588.8,0
2013-03-28,4000.0,163167.6,0
2013-07-09,52.2582,2067.8569740000003,0
2013-12-03,6000.0,275104.2,0
2013-12-04,7977.0,365035.497,0
2013-12-05,10400.0,472421.76,0
2014-01-09,1725.0,77478.5475,0
2014-02-28,9968.0,474031.2304,0
2014-03-10,1679.0,79538.4275,0
2014-03-17,21920.0,1032892.32,0
2014-03-28,5156.0,249581.66,0
2014-03-31,5038.0,246972.13,0
2014-04-02,9185.0,445890.4175,0
2014-04-09,3128.0,149407.356,0
2014-06-02,5000.0,245709.00000000003,0
2014-06-17,1577.0,76407.5424,0
2014-08-28,11570.0,585960.5,0
2014-09-03,1200.0,61346.4,0
2014-09-04,12978.0,661779.1362000001,0
2014-12-12,1646.0,84357.5,0
2015-02-26,10000.0,584467.0,0
2015-05-29,36000.0,2072765.0,0
2015-06-02,10000.0,565352.0,0
2015-06-03,1500.0,85545.0,0
2015-06-09,2600.0,145736.5,0
2015-06-11,2409.0,136807.11,0
2015-06-18,59389.0,3398250.4578,0
2015-06-23,7389.0,426345.3000000001,0
2015-06-29,2738.0,156066.0,0
2015-07-09,2262.0,130110.24,0
2015-08-24,3736.0,225668.936,0
2015-08-26,10000.0,593558.0,0
2015-08-27,200.0,12276.0,0
2015-10-06,10000.0,648490.0,0
2015-12-02,10000.0,755040.0,0
2015-12-11,23000.0,1769781.0,0
2015-12-17,1632.0,130710.144,0
2016-01-05,16558.0,1315835.8200000003,0
2016-01-08,10028.0,794906.72,0
2016-02-22,80000.0,3432640.0,0
2016-02-23,19154.0,833294.77,0
2016-02-24,26489.0,1150682.16,0
2016-03-08,21038.0,919066.068,0
2016-03-11,9059.152,394480.77384,0
2016-03-17,10000.0,440000.0,0
2016-03-18,14196.0,620223.24,0
2016-04-05,0.536,22.565600000000003,0
2016-04-06,6000.0,258000.0,0
2016-04-07,2269.0,97521.62,0
2016-06-28,400.0,13991.999999999998,0
2016-07-01,5000.0,183700.0,0
2016-08-30,80800.0,3059321.12,0
2016-09-07,400.0,15224.0,0
2016-09-27,3500.0,133000.0,0
2016-09-28,400.0,15347.999999999998,0
2016-10-13,12000.0,455743.2,0
2016-12-05,34262.0,1162852.28,0
2016-12-27,2000.0,70450.0,0
2017-01-04,7200.0,257195.12,0
2017-01-06,11702.0,423636.9742,0
2017-04-03,27852.0,965450.5872,0
2017-04-05,7500.0,258750.0,0
2017-04-10,35785.0,1229966.235,0
2017-04-11,14650.0,501583.89,0
2017-06-14,1300.0,45257.68,0
2017-07-06,11139.0,372353.3781,0
2017-08-30,35704.0,1102150.3464,0
2017-09-07,15000.0,468453.0,0
2017-09-08,4000.0,126400.0,0
2017-09-11,100000.0,3166320.0,0
2017-09-20,18114.0,579336.6,0
2017-10-13,24814.0,789445.003,0
2017-11-27,57616.0,1968874.48,0
2017-11-28,16000.0,550400.0,0
2017-11-30,46502.0,1696149.9671,0
2017-12-01,3000.0,109740.3,0
2017-12-04,3184.0,119400.0,0
2017-12-07,570.0,21012.252,0
2018-01-04,7129.0,256644.0,0
2018-03-08,20000.0,668000.0,0
2018-03-09,4492.0,151402.86,0
2018-03-13,1000.0,33884.0,0
2018-04-03,180000.0,6158646.0,0
2018-04-09,14492.0,515716.0,0
2018-04-10,48000.0,1698662.4,0
2018-04-11,5992.0,212716.0,0
2018-04-12,4000.0,140140.0,0
2018-04-13,8000.0,279761.0,0
2018-05-30,49023.0,1812234.7152,0
2018-05-31,20000.0,742600.0,0
2018-07-06,10000.0,373000.0,0
2018-07-11,6000.0,225013.2,0
2018-08-28,21923.0,829789.9346,0
2018-08-30,11856.0,456729.8736,0
2018-08-31,3614.0,140707.1146,0
2018-09-04,13925.0,545024.5,0
2018-09-05,8000.0,318000.0,0
2018-09-11,20200.0,839078.44,0
2018-09-14,6630.0,278912.166,0
2018-09-17,48000.0,1970203.2,0
2018-09-19,1750.0,69290.375,0
2018-10-05,2734.0,109086.6,0
2018-11-26,37734.0,1718764.37,0
2018-12-03,48000.0,2159145.6,0
2018-12-04,53113.0,2418458.3378,0
2018-12-10,4000.0,178360.0,0
2018-12-12,60000.0,2695620.0,0
2019-01-08,5808.0,243936.0,0
2019-03-05,4695.0,201885.0,0
2019-03-22,27752.0,1206931.7048,0
2019-03-26,18000.0,798290.0,0
2019-03-27,5700.0,251151.12,0
2019-03-29,195058.0,8677366.6258,0
2019-04-04,6000.0,251434.8,0
2019-04-09,4500.0,189598.05,0
2019-04-11,13000.0,540309.9,0
2019-06-03,18000.0,718000.0,0
2019-06-04,21000.0,851373.9,0
2019-06-05,4695.0,192495.0,0
2019-06-12,55000.0,2285305.0,0
2019-08-27,9046.0,383061.0114,0
2019-08-30,2045.0,87526.0,0
2019-09-06,26506.0,1130586.4486,0
2019-09-11,2171.0,95524.0,0
2019-09-12,70000.0,3089279.0,0
2019-09-17,3962.0,170396.11119999998,0
2019-09-18,3940.0,171390.0,0
2019-10-04,3363.0,146290.5,0
2019-10-07,6449.0,282036.0517,0
2019-10-08,3128.0,136522.49839999998,0
2019-12-02,11000.0,495898.7,0
2019-12-04,46000.0,2088245.0,0
2020-01-08,79256.0,3542771.6656,0
2020-01-09,75519.0,3375570.9177,0
2020-01-10,20204.0,898480.7455000001,0
2020-02-26,5000.0,223362.5,0
2020-03-19,46213.0,2265287.3192,0
2020-03-20,44000.0,1981911.6,0
2020-04-02,11900.0,566193.67,0
2020-04-03,54462.0,2651402.595,0
2020-04-06,18550.0,895696.025,0
2020-04-08,20930.0,995682.5396,0
2020-06-08,149100.0,7149294.119999999,0
2020-06-10,3445.0,166089.3065,0
2020-06-19,5300.0,258689.82,0
2020-06-22,51796.0,2509982.364,0
2020-09-01,6966.69,353141.51609999995,0
2020-09-02,22386.0,1150640.4,0
2020-09-03,53664.0,2764209.9156,0
2020-09-04,222.527,11374.4008469,0
2020-09-09,60875.0,3097034.82,0
2020-10-05,5271.0,259856.6103,0
2020-11-09,193.328,9567.80272,1
2020-12-02,6872.801,322815.46297,1
2021-02-25,140000.0,6611234.0,0
2021-02-26,32400.0,1520949.96,0
2021-03-02,239.015,11195.4626,1
2021-03-05,87000.0,4144044.9,0
2021-03-16,6277.667,302771.87940999994,0
2021-04-06,6000.0,288360.6,0
2021-05-27,25000.0,1212290.0,0
2021-05-28,58825.0,2872895.48,0
2021-06-02,8000.0,392000.0,0
2021-06-03,6200.0,306908.06,0
2021-06-11,16470.0,799037.1089999999,0
2021-07-01,22600.0,1076001.3320000002,0
2021-12-17,14100.0,692874.0,0
2022-01-10,8000.0,402432.0,0
2022-03-04,60661.883,3108732.33279,0
2022-03-07,15000.0,780322.5,0
2022-03-23,16000.0,802803.2,0
2022-03-31,5000.0,257825.0,0
2022-05-02,959.552,49723.98464,0
2022-06-07,5000.0,225333.5,0
2022-06-23,2110.0,97632.865,0
2022-09-09,5000.0,236000.0,0
2022-12-08,31283.0,1490853.931,0
2022-12-14,1577.0,73929.91769999999,0
2023-03-27,5200.0,202872.28,0
2023-04-03,6000.0,243000.0,0
2023-06-08,36600.0,1482367.6,0
2023-06-13,9200.0,377200.0,0
2023-08-15,108.0,4391.28,1
2023-09-06,1453.772,54153.007,1
2023-10-13,5200.0,160854.72,0
2023-12-13,9000.0,285300.0,0
2023-12-19,5024.0,158169.0848,0
2023-12-21,5892.0,185421.8292,0
2023-12-27,8105.0,257576.9,0
2024-03-08,15400.0,526368.92,0
2024-03-28,25400.0,888555.44,0
2024-04-02,18100.0,640967.6,0
2024-06-27,830.0,24999.6,1
2024-09-13,51600.0,1648878.0,0
2024-09-18,10000.0,327000.0,0
2024-09-27,9800.0,312688.6,0
2024-12-06,4904.403,159245.96541,1
2025-03-27,4500.0,136800.0,0
