symbol
AUDCAD
AUDCHF
AUDJPY
AUDNZD
AUDUSD
Australia 200
Bitcoin (BTCUSD)
Bitcoin Cash (XBNUSD)
Brent Crude Oil
CAC 40
CADCHF
CADJPY
CHFJPY
DAX 30
DJ Euro Stoxx 50
EURAUD
EURCAD
EURCHF
EURCZK
EURGBP
EURJPY
EURMXN
EURNZD
EURSGD
EURTRY
EURUSD
Ethereum (ETHUSD)
FTSE 100
GBPAUD
GBPCAD
GBPCHF
GBPJPY
GBPMXN
GBPNOK
GBPNZD
GBPSEK
GBPSGD
GBPTRY
GBPUSD
Gold
Hang Seng 50
Litecoin (LTCUSD)
NOKSEK
NZDCAD
NZDCHF
NZDJPY
NZDSGD
NZDUSD
Nasdaq 100
Natural Gas
Nikkei 225
Nymex Light Crude
S&P 500
Silver
USDCAD
USDCHF
USDCNH
USDJPY
USDMXN
USDNOK
USDSEK
USDSGD
USDTRY
Wall Street 30
